Country,Continent,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,2020 Population,2022 Population
India,Asia,555189792,698952844,873277798,1056575546,1234281170,1380004385,1407563842
China,Asia,818315000,981235000,1135185000,1262645000,1337705000,1402112000,1411750000
United States,North America,209513340,227224681,248709873,282162411,309321666,331893745,335143000
Indonesia,Asia,117575398,146556194,179378946,214676000,242524123,273523621,275501339
Pakistan,Asia,58239364,80046500,107849094,138957553,176242949,220892331,231402117
Brazil,South America,95562000,121836000,149003000,174790000,201104000,212559000,214326000
Nigeria,Africa,55318000,73522000,95582000,122283850,152722050,206139587,216746934
Bangladesh,Asia,62483783,80118300,106457000,129155000,148692131,164689383,169356251
Russia,Europe,130079000,138053000,147665000,146599183,142849000,144104080,143893000
Mexico,North America,50342000,67102000,81323000,98490000,112468855,128933000,131563000